Abstract,Titulo_Real,Titulo_Predito,Score,Experimento
"  Building quantum devices using fixed operators is a must to simplify the
hardware construction. Quantum search engine is not an exception. In this
paper, a fixed phase quantum search algorithm that searches for M matches in an
unstructured search space of size N will be presented. Selecting phase shifts
of 1.91684\pi in the standard amplitude amplification will make the technique
perform better so as to get probability of success at least 99.58% in
O(sqrt(N/M)) better than any know fixed operator quantum search algorithms. The
algorithm will be able to handle either a single match or multiple matches in
the search space. The algorithm will find a match in O(sqrt(N/M)) whether the
number of matches is known or not in advance.
",Fixed Phase Quantum Search Algorithm,Quantum Phase Search: A Fixed-Phase Algorithm for Searching Large Spaces (arXiv:2307.05680),0.90107083,baseline
"  The best qubit one-way quantum key distribution (QKD) protocol can tolerate
up to 14.1% in the error rate. It has been shown how this rate can be increased
by using larger quantum systems. The polarization state of a biphoton can
encode a three level quantum system - a qutrit. The realization of a QKD system
with biphotons encounters several problems in generating, manipulating and
detecting such photon states. We define those limitations and find within them
a few protocols that perform almost as well as the ideal qutrit protocol. One
advantage is that these protocols can be implemented with minor modifications
into existing single photon systems. The security of one protocol is proved for
the most general coherent attacks and the largest acceptable error rate for
this protocol is found to be around 17.7%. This is the first time, to the best
of our knowledge, that the security of qutrit QKD protocols is rigorously
analyzed against general attacks.
",Simple and secure quantum key distribution with biphotons,Title: Beyond the Basics: Advanced Quantum Key Distribution Protocols and Their Security Limits,0.7362952,baseline
"  Here I give a direct proof that smooth curves with distinct marked points are
asymptotically Hilbert stable with respect to a wide range of parameter spaces
and linearizations. This result can be used to construct the coarse moduli
space of Deligne-Mumford stable pointed curves \bar M_g,n and Hassett's moduli
spaces of weighted pointed curves \bar M_g,A (though the full construction of
the moduli spaces is not contained in this paper, only the stability proof). My
proof follows Gieseker's approach to reduce to the GIT problem to a
combinatorial problem, though the solution is very different. The action of any
1-PS lambda on a curve C in P^N gives rise to weighted filtrations of H^0 (C,
O(1)) and H^0 (C, O(m)), and I give a recipe in terms of the combinatorics of
the base loci of the stages of these filtrations for showing that C is stable
with respect to lambda.
",GIT stability of weighted pointed curves,"Title: Asymptotic Stability of Smooth Curves with Distinct Marked Points
A direct proof of asymptotic stability for smooth curves with distinct marked points, as well as their associated moduli spaces, is presented using Gieseker's reduction to the GIT problem via combinatorial means. A detailed explanation of",0.71368754,baseline
"  We investigate the construction of five-dimensional, three-charge
supergravity solutions that only have a rotational U(1) isometry. We show that
such solutions can be obtained as warped compactifications with a singular
ambi-polar hyper-Kahler base space and singular warp factors. We show that the
complete solution is regular around the critical surface of the ambi-polar
base. We illustrate this by presenting the explicit form of the most general
supersymmetric solutions that can be obtained from an Atiyah-Hitchin base space
and its ambi-polar generalizations. We make a parallel analysis using an
ambi-polar generalization of the Eguchi-Hanson base space metric. We also show
how the bubbling procedure applied to the ambi-polar Eguchi-Hanson metric can
convert it to a global AdS_2xS^3 compactification.
",Bubbles on Manifolds with a U(1) Isometry,Five-Dimensional Rotating Supergravity Solutions With Singular Amispherical Hyper-Kähler Base Spaces and Warped Compactifications: A Comprehensive Analysis,0.23734358,baseline
"  A formula is derived that allows the computation of one-loop mass shifts for
self-dual semilocal topological solitons. These extended objects, which in
three spatial dimensions are called semi-local strings, arise in a generalized
Abelian Higgs model with a doublet of complex Higgs fields. Having a mixture of
global, SU(2), and local (gauge), U(1), symmetries, this weird system may seem
bizarre, but it is in fact the bosonic sector of electro-weak theory when the
weak mixing angle is of 90 degrees. The procedure for computing the
semi-classical mass shifts is based on canonical quantization and heat
kernel/zeta function regularization methods.
","One loop corrections to the mass of self-dual semi-local planar
  topological solitons","""Self-Dual Semilocal Topological Solitons: Beyond Three Spatial Dimensions""",0.74866545,baseline
"  Nitrogen embedded ZnO:N films prepared by pulsed laser deposition exhibit
significant ferromagnetism. The nitrogen ions contained in ZnO confirmed by
Secondary Ion Microscopic Spectrum and Raman experiments and the embedded
nitrogen ions can be regarded as defects. According to the experiment results,
a mechanism is proposed based on one of the electrons in the completely filled
d-orbits of Zn that compensates the dangling bonds of nitrogen ions and leads
to a net spin of one half in the Zn orbits. These one half spins strongly
correlate with localized electrons that are captured by defects to form
ferromagnetism. Eventually, the magnetism of nitrogen embedded ZnO:N films
could be described by a bound magnetic polaron model.
",Origin of Ferromagnetism in nitrogen embedded ZnO:N thin films,"Title: ""Ferromagnetic Properties of Nitrogen-Embedded Zinc Oxide: A Review""",0.8035815,baseline
"  We load cold atoms into an optical lattice dramatically reshaped by
radiofrequency (rf) coupling of state-dependent lattice potentials. This rf
dressing changes the unit cell of the lattice at a subwavelength scale, such
that its curvature and topology departs strongly from that of a simple
sinusoidal lattice potential. Radiofrequency dressing has previously been
performed at length scales from mm to tens of microns, but not at the
single-optical-wavelength scale. At this length scale significant coupling
between adiabatic potentials leads to nonadiabatic transitions, which we
measure as a function of lattice depth and dressing frequency and amplitude. We
also investigate the dressing by measuring changes in the momentum distribution
of the dressed states.
",Atoms in a radiofrequency-dressed optical lattice,"Title: ""The Impact of RF Dressing on Optical Lattice Systems: From Millimeters to Microns""",0.56939965,baseline
"  The Littelmann path moel gives a realization of the crystals of integrable
representations of symmetrizable Kac-Moody Lie algebras. Recent work of
Gaussent-Littelmann and others has demonstrated a connection between this model
and the geometry of the loop Grassmannian. The alcove walk model is a version
of the path model which is intimately connected to the combinatorics of the
affine Hecke algebra. In this paper we define a refined alcove walk model which
encodes the points of the affine flag variety. We show that this combinatorial
indexing naturally indexes the ""cells"" in generalized Mirkovic-Vilonen
intersections.
",Combinatorics in affine flag varieties,Path Model for Integrable Representations of Symmetrizable Kac-Moody Lie Algebras,0.23398146,baseline
"  We report on the experimental observation of the dipolar collapse of a
quantum gas which sets in when we reduce the contact interaction below some
critical value using a Feshbach resonance. Due to the anisotropy of the
dipole-dipole interaction, the stability of a dipolar Bose-Einstein condensate
depends not only on the strength of the contact interaction, but also on the
trapping geometry. We investigate the stability diagram and find good agreement
with a universal stability threshold arising from a simple theoretical model.
Using a pancake-shaped trap with the dipoles oriented along the short axis of
the trap, we are able to tune the scattering length to zero, stabilizing a
purely dipolar quantum gas.
",Stabilizing a purely dipolar quantum gas against collapse,Dipolar Collapse of Quantum Gas under Contact Interactions,0.78801,baseline
"  We show that the transverse double spin asymmetry (DSA) in the Drell-Yan
process contributed only from the Sivers functions can be picked out by the
weighting function
$\frac{Q_T}{M^2}(\cos(\phi-\phi_{S_1})\cos(\phi-\phi_{S_2})+3\sin(\phi-\phi_{S_1})\sin(\phi-\phi_{S_2}))$.
The asymmetry is proportional to the product of two Sivers functions from each
hadron $f_{1T}^{\perp(1)}\times f_{1T}^{\perp (1)}$. Using two sets of Sivers
functions extracted from the semi-inclusive deeply elastic scattering data at
HERMES, we estimate this asymmetry in the $p^\uparrow\bar{p}^\uparrow$
Drell-Yan process which is possible to be performed in HESR at GSI. The
prediction of DSA in the Drell-Yan process contributed by the function
$g_{1T}(x,\Vec k_T^2)$, which can be extracted by the weighting function
$\frac{Q_T}{M^2}(3\cos(\phi-\phi_{S_1})\cos(\phi-\phi_{S_2})+\sin(\phi-\phi_{S_1})\sin(\phi-\phi_{S_2}))$,
is also given at GSI.
","Double transverse spin asymmetry in the $p^\uparrow\bar{p}^\uparrow$
  Drell-Yan process from Sivers functions",Title: Transverse Double Spin Asymmetry in Drell-Yan Processes: A Study Based on Weighted Sivers Functions and Semi-Inclusive Deeply Elastic Scattering Data at HERMES and GSI,0.8108857,baseline
